,YEAR,COUNTY_DISTRICT_CODE,DISTRICT_NAME,SCHOOL_CODE,SCHOOL_NAME,TITLE1_FLAG,TITLE1_FLAG_DESC,ENROLLMENT_GRADES_K_12,JANUARY_MEMBERSHIP,LUNCH_COUNT_FREE_REDUCED,LUNCH_COUNT_FREE_REDUCTED_PCT,ENROLLMENT_ASIAN,ENROLLMENT_ASIAN_PCT,ENROLLMENT_ASIAN_PACIFIC_ISLANDER,ENROLLMENT_ASIAN_PACIFIC_ISLANDER_PCT,ENROLLMENT_BLACK,ENROLLMENT_BLACK_PCT,ENROLLMENT_HISPANIC,ENROLLMENT_HISPANIC_PCT,ENROLLMENT_INDIAN,ENROLLMENT_INDIAN_PCT,ENROLLMENT_MULTIRACIAL,ENROLLMENT_MULTIRACIAL_PCT,ENROLLMENT_PACIFIC_ISLANDER,ENROLLMENT_PACIFIC_ISLANDER_PCT,ENROLLMENT_WHITE,ENROLLMENT_WHITE_PCT,ENROLLMENT_ELL_LEP,ENROLLMENT_ELL_LEP_PCT,ENROLLMENT_GRADE_PK_ELL_LEP,ENROLLMENT_GRADE_PK_ELL_LEP_PCT,IEP_SCHOOLAGE_CHILDCOUNT,IEP_INCIDENCE_RATE,LUNCH_COUNT_FREE_REDUCED_PCT,CTYDIST,DNAME,SCHNUM,Textbox285,SCHNAME,SCHADDR1,SCHADDR2,SCHCITY,SCHZIP,SCHLPHON,SCHLFAX,BGRADE,EGRADE,PRINLN,PRINFN,PRINMI,PRINSAL,PRINYREX,PRINTITL,SCHEMAIL,SCHTTEACH,SCHENRR,SCHENRNR,SCHTENR,DCOUNTY,DSUPAREA,HouseDistricts,SenateDistricts,CongressionalDistricts,ELEMENTARY_SCHOOL_FLAG,MIDDLE_SCHOOL_FLAG,JUNIOR_HIGH_SCHOOL_FLAG,HIGH_SCHOOL_FLAG,AVTS_FLAG,ALTERNATIVE_SCHOOL_FLAG,FULL_CODE,CHARTER
10,2010,115115,ST. LOUIS CITY,1015,GRISCOM DETENTION CTR.,, ,36,52.0,25,,,,*,*,35,97.22,*,*,*,*,*,*,,,*,*,*,*,*,*,*,*,48.1,115115.0,St. Louis City ,1015.0,Building List,Griscom Juvenile Detention Center ,3847 Enright Avenue,,St. Louis ,631080000.0,3145522219.0,,5,12,Mitchell ,Derek ,,Dr.,12.0,Director ,DEREK.MITCHELL,6.0,13.0,0.0,13.0,St. Louis City ,A,"66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93","4  , 5","01, 02", , , , , ,Y,115-115-1015,False
11,2011,115115,ST. LOUIS CITY,1015,GRISCOM DETENTION CTR.,, ,43,44.0,29,,*,*,,,41,95.35,*,*,*,*,*,*,*,*,*,*,*,*,*,*,14,32.56,65.9,115115.0,St. Louis City ,1015.0,Building List,Griscom Juvenile Detention Center ,3847 Enright Avenue,,St. Louis ,631080000.0,3145522219.0,,5,12,Mitchell ,Derek ,,Dr.,12.0,Director ,DEREK.MITCHELL,6.0,13.0,0.0,13.0,St. Louis City ,A,"66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93","4  , 5","01, 02", , , , , ,Y,115-115-1015,False
12,2015,115115,ST. LOUIS CITY,1015,GRISCOM JUVENILE DETENTION CTR,, ,12,26.0,*,,*,*,,,11,91.67,*,*,*,*,*,*,*,*,*,*,*,*,*,*,7,58.33,*,115115.0,St. Louis City ,1015.0,Building List,Griscom Juvenile Detention Center ,3847 Enright Avenue,,St. Louis ,631080000.0,3145522219.0,,5,12,Mitchell ,Derek ,,Dr.,12.0,Director ,DEREK.MITCHELL,6.0,13.0,0.0,13.0,St. Louis City ,A,"66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93","4  , 5","01, 02", , , , , ,Y,115-115-1015,False
13,2016,115115,ST. LOUIS CITY,1015,GRISCOM JUVENILE DETENTION CTR,T,TARGETED,26,29.0,*,,*,*,,,26,100,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,19.23,*,115115.0,St. Louis City ,1015.0,Building List,Griscom Juvenile Detention Center ,3847 Enright Avenue,,St. Louis ,631080000.0,3145522219.0,,5,12,Mitchell ,Derek ,,Dr.,12.0,Director ,DEREK.MITCHELL,6.0,13.0,0.0,13.0,St. Louis City ,A,"66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93","4  , 5","01, 02", , , , , ,Y,115-115-1015,False
14,2017,115115,ST. LOUIS CITY,1015,GRISCOM JUVENILE DETENTION CTR,, ,22,30.0,*,,*,*,,,22,100,*,*,*,*,*,*,*,*,*,*,*,*,*,*,6,27.27,*,115115.0,St. Louis City ,1015.0,Building List,Griscom Juvenile Detention Center ,3847 Enright Avenue,,St. Louis ,631080000.0,3145522219.0,,5,12,Mitchell ,Derek ,,Dr.,12.0,Director ,DEREK.MITCHELL,6.0,13.0,0.0,13.0,St. Louis City ,A,"66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93","4  , 5","01, 02", , , , , ,Y,115-115-1015,False
15,2018,115115,ST. LOUIS CITY,1015,GRISCOM JUVENILE DETENTION CTR,, ,11,21.0,*,,*,*,,,10,90.91,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,115115.0,St. Louis City ,1015.0,Building List,Griscom Juvenile Detention Center ,3847 Enright Avenue,,St. Louis ,631080000.0,3145522219.0,,5,12,Mitchell ,Derek ,,Dr.,12.0,Director ,DEREK.MITCHELL,6.0,13.0,0.0,13.0,St. Louis City ,A,"66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93","4  , 5","01, 02", , , , , ,Y,115-115-1015,False
16,2019,115115,ST. LOUIS CITY,1015,GRISCOM JUVENILE DETENTION CTR,, ,21,23.0,*,,*,*,,,21,100,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,23.81,*,115115.0,St. Louis City ,1015.0,Building List,Griscom Juvenile Detention Center ,3847 Enright Avenue,,St. Louis ,631080000.0,3145522219.0,,5,12,Mitchell ,Derek ,,Dr.,12.0,Director ,DEREK.MITCHELL,6.0,13.0,0.0,13.0,St. Louis City ,A,"66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93","4  , 5","01, 02", , , , , ,Y,115-115-1015,False
17,2020,115115,ST. LOUIS CITY,1015,GRISCOM JUVENILE DETENTION CTR,S,SCHOOLWIDE,11,16.0,*,,*,*,,,10,90.91,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,115115.0,St. Louis City ,1015.0,Building List,Griscom Juvenile Detention Center ,3847 Enright Avenue,,St. Louis ,631080000.0,3145522219.0,,5,12,Mitchell ,Derek ,,Dr.,12.0,Director ,DEREK.MITCHELL,6.0,13.0,0.0,13.0,St. Louis City ,A,"66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93","4  , 5","01, 02", , , , , ,Y,115-115-1015,False
18,2007,115115,ST. LOUIS CITY,1020,MADISON ALT. EDUCATION SCH.,, ,59,145.0,123,,,,*,*,55,93.22,*,*,*,*,*,*,,,*,*,*,*,*,*,26,44.07,84.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115-115-1020,False
19,2008,115115,ST. LOUIS CITY,1021,BIG PICTURE ELEM. ALT.,, ,58,70.0,60,,,,*,*,55,94.83,*,*,*,*,*,*,,,*,*,*,*,*,*,8,13.79,85.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115-115-1021,False
20,2009,115115,ST. LOUIS CITY,1021,BIG PICTURE ELEM. ALT.,, ,63,62.0,52,,,,*,*,61,96.83,*,*,*,*,*,*,,,*,*,*,*,*,*,7,11.11,83.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115-115-1021,False
21,2008,115115,ST. LOUIS CITY,1022,BIG PICTURE MIDDLE ALT.,, ,60,58.0,43,,,,*,*,58,96.67,*,*,*,*,*,*,,,*,*,*,*,*,*,5,8.33,74.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115-115-1022,False
22,2009,115115,ST. LOUIS CITY,1022,BIG PICTURE MIDDLE ALT.,, ,64,67.0,47,,,,*,*,62,96.88,*,*,*,*,*,*,,,*,*,*,*,*,*,11,17.19,70.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115-115-1022,False
23,2008,115115,ST. LOUIS CITY,1023,BIG PICTURE HIGH SCHOOL ALT.,, ,65,58.0,43,,,,*,*,60,92.31,*,*,*,*,*,*,,,5,7.69,*,*,*,*,19,29.23,74.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115-115-1023,False
24,2009,115115,ST. LOUIS CITY,1023,BIG PICTURE HIGH SCHOOL ALT.,, ,85,90.0,70,,,,*,*,76,89.41,*,*,*,*,*,*,,,9,10.59,*,*,*,*,18,21.18,77.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115-115-1023,False
25,2010,115115,ST. LOUIS CITY,1023,BIG PICTURE MIDDLE & HIGH @ NW,, ,139,124.0,112,,,,*,*,133,95.68,*,*,*,*,*,*,,,5,3.6,*,*,*,*,25,17.99,90.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115-115-1023,False
26,2011,115115,ST. LOUIS CITY,1023,BIG PICTURE MIDDLE & HIGH @ NW,S,SCHOOLWIDE,121,113.0,96,,*,*,,,114,94.21,*,*,*,*,*,*,*,*,6,4.96,*,*,*,*,22,18.18,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115-115-1023,False
27,2016,115115,ST. LOUIS CITY,1024,EDUC THERAP SUPPORT AT MADISON,, ,0,0.0,*,,*,*,,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,115115.0,St. Louis City ,1024.0,Building List,Educ Therap Support At Madison ,118 South 7th St.,,St. Louis ,631040000.0,3149325711.0,3142441948.0, K,8,Echols ,Marvin ,,Mr.,9.0,Prin ,MARVIN.ECHOLS@SLPS.ORG,15.0,0.0,0.0,0.0,St. Louis City ,A,"66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93","4  , 5","01, 02", , , ,Y, , ,115-115-1024,False
28,2017,115115,ST. LOUIS CITY,1024,EDUC THERAP SUPPORT AT MADISON,, ,0,0.0,*,,*,*,,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,115115.0,St. Louis City ,1024.0,Building List,Educ Therap Support At Madison ,118 South 7th St.,,St. Louis ,631040000.0,3149325711.0,3142441948.0, K,8,Echols ,Marvin ,,Mr.,9.0,Prin ,MARVIN.ECHOLS@SLPS.ORG,15.0,0.0,0.0,0.0,St. Louis City ,A,"66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93","4  , 5","01, 02", , , ,Y, , ,115-115-1024,False
29,2018,115115,ST. LOUIS CITY,1024,EDUC THERAP SUPPORT AT MADISON,, ,0,0.0,*,,*,*,,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,115115.0,St. Louis City ,1024.0,Building List,Educ Therap Support At Madison ,118 South 7th St.,,St. Louis ,631040000.0,3149325711.0,3142441948.0, K,8,Echols ,Marvin ,,Mr.,9.0,Prin ,MARVIN.ECHOLS@SLPS.ORG,15.0,0.0,0.0,0.0,St. Louis City ,A,"66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93","4  , 5","01, 02", , , ,Y, , ,115-115-1024,False
30,2019,115115,ST. LOUIS CITY,1024,EDUC THERAP SUPPORT AT MADISON,, ,0,0.0,*,,*,*,,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,115115.0,St. Louis City ,1024.0,Building List,Educ Therap Support At Madison ,118 South 7th St.,,St. Louis ,631040000.0,3149325711.0,3142441948.0, K,8,Echols ,Marvin ,,Mr.,9.0,Prin ,MARVIN.ECHOLS@SLPS.ORG,15.0,0.0,0.0,0.0,St. Louis City ,A,"66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93","4  , 5","01, 02", , , ,Y, , ,115-115-1024,False
31,2020,115115,ST. LOUIS CITY,1024,EDUC THERAP SUPPORT AT MADISON,, ,0,0.0,*,,*,*,,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,115115.0,St. Louis City ,1024.0,Building List,Educ Therap Support At Madison ,118 South 7th St.,,St. Louis ,631040000.0,3149325711.0,3142441948.0, K,8,Echols ,Marvin ,,Mr.,9.0,Prin ,MARVIN.ECHOLS@SLPS.ORG,15.0,0.0,0.0,0.0,St. Louis City ,A,"66 , 76 , 77 , 78 , 79 , 80 , 81 , 82 , 83 , 84 , 91 , 93","4  , 5","01, 02", , , ,Y, , ,115-115-1024,False
32,2006,115414,MO SCHOOL FOR THE BLIND,1050,MSB HIGH,, ,26,28.0,*,,,,*,*,9,34.62,*,*,*,*,*,*,,,16,61.54,*,*,*,*,*,*,*,115414.0,Mo School For The Blind ,1050.0,Building List,MO School for the Blind - HS,3815 Magnolia Avenue,,St. Louis ,631104099.0,3147764320.0,3147761875.0,9,12,Barney,Geoffrey,,Mr.,8.0,Supt. ,Geoffrey.Barney@msb.dese.mo.gov,20.0,30.0,0.0,30.0,St. Louis City ,A,,,, , , ,Y, , ,115-414-1050,False
33,2007,115414,MO SCHOOL FOR THE BLIND,1050,MSB HIGH,, ,20,19.0,*,,,,*,*,8,40,*,*,*,*,*,*,,,12,60,*,*,*,*,*,*,*,115414.0,Mo School For The Blind ,1050.0,Building List,MO School for the Blind - HS,3815 Magnolia Avenue,,St. Louis ,631104099.0,3147764320.0,3147761875.0,9,12,Barney,Geoffrey,,Mr.,8.0,Supt. ,Geoffrey.Barney@msb.dese.mo.gov,20.0,30.0,0.0,30.0,St. Louis City ,A,,,, , , ,Y, , ,115-414-1050,False
34,2008,115414,MO SCHOOL FOR THE BLIND,1050,MSB HIGH,, ,21,19.0,*,,,,*,*,10,47.62,*,*,*,*,*,*,,,11,52.38,*,*,*,*,*,*,*,115414.0,Mo School For The Blind ,1050.0,Building List,MO School for the Blind - HS,3815 Magnolia Avenue,,St. Louis ,631104099.0,3147764320.0,3147761875.0,9,12,Barney,Geoffrey,,Mr.,8.0,Supt. ,Geoffrey.Barney@msb.dese.mo.gov,20.0,30.0,0.0,30.0,St. Louis City ,A,,,, , , ,Y, , ,115-414-1050,False
35,2009,115414,MO SCHOOL FOR THE BLIND,1050,MSB HIGH,, ,22,19.37,6.4,,,,*,*,11,50,*,*,*,*,*,*,,,11,50,*,*,*,*,*,*,33,115414.0,Mo School For The Blind ,1050.0,Building List,MO School for the Blind - HS,3815 Magnolia Avenue,,St. Louis ,631104099.0,3147764320.0,3147761875.0,9,12,Barney,Geoffrey,,Mr.,8.0,Supt. ,Geoffrey.Barney@msb.dese.mo.gov,20.0,30.0,0.0,30.0,St. Louis City ,A,,,, , , ,Y, , ,115-414-1050,False
36,2010,115414,MO SCHOOL FOR THE BLIND,1050,MSB HIGH,, ,25,19.47,10,,,,*,*,9,36,*,*,*,*,*,*,,,16,64,*,*,*,*,*,*,54.4,115414.0,Mo School For The Blind ,1050.0,Building List,MO School for the Blind - HS,3815 Magnolia Avenue,,St. Louis ,631104099.0,3147764320.0,3147761875.0,9,12,Barney,Geoffrey,,Mr.,8.0,Supt. ,Geoffrey.Barney@msb.dese.mo.gov,20.0,30.0,0.0,30.0,St. Louis City ,A,,,, , , ,Y, , ,115-414-1050,False
37,2011,115414,MO SCHOOL FOR THE BLIND,1050,MSB HIGH,, ,29,27.89,*,,*,*,,,9,31.03,*,*,*,*,*,*,*,*,17,58.62,*,*,*,*,21,72.41,*,115414.0,Mo School For The Blind ,1050.0,Building List,MO School for the Blind - HS,3815 Magnolia Avenue,,St. Louis ,631104099.0,3147764320.0,3147761875.0,9,12,Barney,Geoffrey,,Mr.,8.0,Supt. ,Geoffrey.Barney@msb.dese.mo.gov,20.0,30.0,0.0,30.0,St. Louis City ,A,,,, , , ,Y, , ,115-414-1050,False
38,2012,115414,MO SCHOOL FOR THE BLIND,1050,MSB HIGH,, ,25,22.65,*,,*,*,,,6,24,*,*,*,*,*,*,*,*,16,64,*,*,*,*,*,*,*,115414.0,Mo School For The Blind ,1050.0,Building List,MO School for the Blind - HS,3815 Magnolia Avenue,,St. Louis ,631104099.0,3147764320.0,3147761875.0,9,12,Barney,Geoffrey,,Mr.,8.0,Supt. ,Geoffrey.Barney@msb.dese.mo.gov,20.0,30.0,0.0,30.0,St. Louis City ,A,,,, , , ,Y, , ,115-414-1050,False
39,2013,115414,MO SCHOOL FOR THE BLIND,1050,MSB HIGH,, ,27,28.0,*,,*,*,,,*,*,*,*,*,*,*,*,*,*,16,59.26,*,*,*,*,*,*,*,115414.0,Mo School For The Blind ,1050.0,Building List,MO School for the Blind - HS,3815 Magnolia Avenue,,St. Louis ,631104099.0,3147764320.0,3147761875.0,9,12,Barney,Geoffrey,,Mr.,8.0,Supt. ,Geoffrey.Barney@msb.dese.mo.gov,20.0,30.0,0.0,30.0,St. Louis City ,A,,,, , , ,Y, , ,115-414-1050,False
40,2014,115414,MO SCHOOL FOR THE BLIND,1050,MO School for the Blind - HS,, ,29,28.0,*,,*,*,,,6,20.69,*,*,*,*,*,*,*,*,18,62.07,*,*,*,*,*,*,*,115414.0,Mo School For The Blind ,1050.0,Building List,MO School for the Blind - HS,3815 Magnolia Avenue,,St. Louis ,631104099.0,3147764320.0,3147761875.0,9,12,Barney,Geoffrey,,Mr.,8.0,Supt. ,Geoffrey.Barney@msb.dese.mo.gov,20.0,30.0,0.0,30.0,St. Louis City ,A,,,, , , ,Y, , ,115-414-1050,False
41,2015,115414,MO SCHOOL FOR THE BLIND,1050,MO School for the Blind - HS,, ,27,26.0,*,,*,*,,,8,29.63,*,*,*,*,*,*,*,*,17,62.96,*,*,*,*,*,*,*,115414.0,Mo School For The Blind ,1050.0,Building List,MO School for the Blind - HS,3815 Magnolia Avenue,,St. Louis ,631104099.0,3147764320.0,3147761875.0,9,12,Barney,Geoffrey,,Mr.,8.0,Supt. ,Geoffrey.Barney@msb.dese.mo.gov,20.0,30.0,0.0,30.0,St. Louis City ,A,,,, , , ,Y, , ,115-414-1050,False
42,2016,115414,MO SCHOOL FOR THE BLIND,1050,MO School for the Blind - HS,, ,29,26.0,*,,*,*,,,8,27.59,*,*,*,*,*,*,*,*,19,65.52,*,*,*,*,*,*,*,115414.0,Mo School For The Blind ,1050.0,Building List,MO School for the Blind - HS,3815 Magnolia Avenue,,St. Louis ,631104099.0,3147764320.0,3147761875.0,9,12,Barney,Geoffrey,,Mr.,8.0,Supt. ,Geoffrey.Barney@msb.dese.mo.gov,20.0,30.0,0.0,30.0,St. Louis City ,A,,,, , , ,Y, , ,115-414-1050,False
43,2017,115414,MO SCHOOL FOR THE BLIND,1050,MO School for the Blind - HS,, ,22,22.0,*,,*,*,,,7,31.82,*,*,*,*,*,*,*,*,13,59.09,*,*,*,*,*,*,*,115414.0,Mo School For The Blind ,1050.0,Building List,MO School for the Blind - HS,3815 Magnolia Avenue,,St. Louis ,631104099.0,3147764320.0,3147761875.0,9,12,Barney,Geoffrey,,Mr.,8.0,Supt. ,Geoffrey.Barney@msb.dese.mo.gov,20.0,30.0,0.0,30.0,St. Louis City ,A,,,, , , ,Y, , ,115-414-1050,False
